area,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,city,clustering_coefficient_avg,clustering_coefficient_weighted_avg,count_intersections,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,geoid,intersection_density_km,k_avg,m,n,nhood,node_density_km,pagerank_max,pagerank_max_node,pagerank_min,pagerank_min_node,self_loop_proportion,state,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,time
4088216.1489199568,4.088216148919956,2.587813620071684,0.03388828422711941,1.0575689192067057,Mobile,0.06164874551971326,0.006616826386825938,160.0,0.026038942167974408,16353.886699765468,149.2371064812243,66858.22370358848,0150000,39.13687392538419,4.817204301075269,448.0,186.0,Airmont,45.49661593825912,0.014938552767873764,58139658.0,0.00082816925357154,57962689.0,0.033482142857142856,AL,9024.028903482878,146.39754242674266,36892.18069153915,252.0,2.8978494623655915,"{0: 0, 1: 26, 2: 0, 3: 129, 4: 30, 5: 0, 6: 1}","{0: 0.0, 1: 0.13978494623655913, 2: 0.0, 3: 0.6935483870967742, 4: 0.16129032258064516, 5: 0.0, 6: 0.005376344086021506}",0.09606075286865234
4050472.786006456,4.0504727860064556,2.6096938775510203,0.049888861668627514,1.0444318878620455,Mobile,0.027210884353741496,0.003823420662506947,63.0,0.042289080580685826,6331.716236174398,127.59425026537124,25646.44430333962,0150000,15.553739854184911,4.1020408163265305,201.0,98.0,Alderbrook,24.194706439843195,0.027109647895260866,58174907.0,0.0018892006418469935,58145966.0,0.0,AL,3186.8077522115664,126.54978504477796,12908.078074567353,102.0,2.336734693877551,"{0: 0, 1: 35, 2: 1, 3: 56, 4: 6}","{0: 0.0, 1: 0.35714285714285715, 2: 0.01020408163265306, 3: 0.5714285714285714, 4: 0.061224489795918366}",0.08706212043762207
5270350.58311956,5.27035058311956,2.7894736842105257,0.031875783042196314,1.0726890452555375,Mobile,0.03728070175438596,0.006513516875155817,127.0,0.034855350296270474,8853.73111355915,116.65566734282565,46662.26693713026,0150000,24.09706868586107,5.2631578947368425,400.0,152.0,Alligator Bayou,28.84058614370774,0.013182162039642962,58277910.0,0.001009421265141319,57784113.0,0.02,AL,4507.6518228572995,116.45541869164667,23756.90541309592,204.0,2.7434210526315788,"{0: 0, 1: 25, 2: 0, 3: 116, 4: 11}","{0: 0.0, 1: 0.16447368421052633, 2: 0.0, 3: 0.7631578947368421, 4: 0.07236842105263158}",0.10707616806030273
7183358.51510054,7.183358515100539,1.5,0.008521141783819804,1.231835842370971,Mobile,0.09027777777777779,0.05210542973169701,12.0,0.12318840579710143,1055.0291781464675,222.90155383876325,7578.652830517951,0150000,1.6705277865185386,2.8333333333333335,34.0,24.0,Argyle,3.3410555730370772,0.08926842013214388,57958659.0,0.009174311926605505,57936643.0,0.058823529411764705,AL,554.4598587418309,221.27133042080962,3982.883947574573,18.0,2.1666666666666665,"{0: 0, 1: 12, 2: 0, 3: 8, 4: 4}","{0: 0.0, 1: 0.5, 2: 0.0, 3: 0.3333333333333333, 4: 0.16666666666666666}",0.026018619537353516
891470.0026805424,0.8914700026805424,2.3604868913857677,0.03150973830935861,1.0223943951457561,Mobile,0.0,0.0,71.0,0.04596527068437186,21282.279310335456,105.40285329907113,18972.513593832802,0150000,79.64373426644934,4.044943820224719,180.0,89.0,Arlington,99.83510351709846,0.04061094658789649,58191953.0,0.0017453846692012534,58170201.0,0.0,AL,13531.542456875679,112.73798308694238,12062.964190302835,107.0,2.7191011235955056,"{0: 0, 1: 18, 2: 2, 3: 56, 4: 13}","{0: 0.0, 1: 0.20224719101123595, 2: 0.02247191011235955, 3: 0.6292134831460674, 4: 0.14606741573033707}",0.05103611946105957
6679002.297607069,6.679002297607069,2.306737588652483,0.026097022655095312,1.0993211833039545,Mobile,0.03900709219858156,0.002307614521632442,67.0,0.04278197208876684,3917.5343236128265,139.92096656879477,26165.220748364623,0150000,10.031438381748204,3.978723404255319,187.0,94.0,Audubon,14.073958326631809,0.0328605853513312,57722112.0,0.0016402405686167306,57849642.0,0.0,AL,2397.4626301438343,151.0628152373373,16012.658415157755,106.0,2.521276595744681,"{0: 0, 1: 27, 2: 0, 3: 58, 4: 9}","{0: 0.0, 1: 0.2872340425531915, 2: 0.0, 3: 0.6170212765957447, 4: 0.09574468085106383}",0.0670473575592041
3901593.4227089146,3.9015934227089146,2.3194444444444446,0.02832810299490225,1.1544933374431503,Mobile,0.02546296296296296,0.004549107793061105,48.0,0.05633802816901404,5223.4958233933885,141.52747880624395,20379.95694809913,0150000,12.30266580844119,4.0,144.0,72.0,Autumndale,18.453998712661786,0.03381065573566736,58190215.0,0.0022140221402214026,58156848.0,0.027777777777777776,AL,2677.3644340021074,141.16199278239728,10445.987465897399,74.0,2.4166666666666665,"{0: 0, 1: 24, 2: 0, 3: 42, 4: 6}","{0: 0.0, 1: 0.3333333333333333, 2: 0.0, 3: 0.5833333333333334, 4: 0.08333333333333333}",0.06604790687561035
4224966.760062079,4.224966760062079,2.540666666666667,0.02664150439633249,1.1489188510985127,Mobile,0.02266666666666667,0.003494666234314566,92.0,0.036129032258064527,10180.851370051934,153.62056652714963,43013.7586276019,0150000,21.77531924503193,4.48,280.0,125.0,Azalea,29.58603158292382,0.017405242323950732,57779949.0,0.001208215867901732,58231568.0,0.0,AL,5090.4256850258,153.6205665271446,21506.879313800244,140.0,2.504,"{0: 0, 1: 33, 2: 0, 3: 88, 4: 4}","{0: 0.0, 1: 0.264, 2: 0.0, 3: 0.704, 4: 0.032}",0.12508845329284668
3796124.3865319435,3.7961243865319436,2.6627777777777766,0.03074834637170588,1.0468158339306253,Mobile,0.017777777777777778,0.0012328984114536228,89.0,0.027561521252796477,10158.77131987867,125.20766085906727,38563.95954459272,0150000,23.444964110174602,4.1066666666666665,308.0,150.0,Baker,39.51398445535045,0.015877622857969884,58330279.0,0.0016910768875861143,57678445.0,0.0,AL,5114.574404489294,124.45872194624295,19415.5606236139,156.0,2.24,"{0: 0, 1: 61, 2: 0, 3: 81, 4: 8}","{0: 0.0, 1: 0.4066666666666667, 2: 0.0, 3: 0.54, 4: 0.05333333333333334}",0.1080937385559082
1911146.4230852923,1.9111464230852924,3.00968992248062,0.03366504375290103,1.0049405699852605,Mobile,0.01937984496124031,0.0026876459453196114,121.0,0.04348352713178295,20817.246681460994,110.82118811631854,39784.806533758354,0150000,63.3127836456725,5.565891472868217,359.0,129.0,Baltimore,67.49875281232853,0.018294731945386937,58138685.0,0.0011958324498002409,58258845.0,0.0,AL,10766.92760421565,110.03836993804832,20577.175178415036,187.0,3.2713178294573644,"{0: 0, 1: 8, 2: 0, 3: 73, 4: 46, 5: 1, 6: 1}","{0: 0.0, 1: 0.06201550387596899, 2: 0.0, 3: 0.5658914728682171, 4: 0.35658914728682173, 5: 0.007751937984496124, 6: 0.007751937984496124}",0.10616636276245117
