area,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,count_intersections,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,geoid,int_0_streets_count,int_0_streets_prop,int_10_streets_count,int_10_streets_prop,int_11_streets_count,int_11_streets_prop,int_1_streets_count,int_1_streets_prop,int_2_streets_count,int_2_streets_prop,int_3_streets_count,int_3_streets_prop,int_4_streets_count,int_4_streets_prop,int_5_streets_count,int_5_streets_prop,int_6_streets_count,int_6_streets_prop,int_7_streets_count,int_7_streets_prop,int_8_streets_count,int_8_streets_prop,int_9_streets_count,int_9_streets_prop,intersection_density_km,k_avg,m,n,name,node_density_km,pagerank_max,pagerank_max_node,pagerank_min,pagerank_min_node,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,time
8937429045,8937.429045,2.8918120747424374,0.03825917116590919,1.0603429719696191,0.037873890759983216,0.0002603221008610964,307848,1.4087993404210393e-05,15925.250512310015,144.9919792650514,142330796.47762066,63217,1,2.6787460254105847e-06,1.0,2.6787460254105847e-06,,,65460,0.17535071482337689,1466,0.003927041673251917,229681,0.6152570658623285,75294,0.20169350323726457,1250.0,0.003348432531763231,145.0,0.0003884181736845348,10.0,2.6787460254105847e-05,1.0,2.6787460254105847e-06,0.0,0.0,34.444804926560394,5.259160641720398,981646,373309,"New York--Newark, NY--NJ--CT Urbanized Area",41.76917076716215,9.512738338871006e-06,3629566639,4.050018524750175e-07,254806534,0.007042253521126761,8844.471430991605,148.09517412421212,79046835.8550171,533757,2.855058410057084,"{0: 1, 1: 65460, 2: 1466, 3: 229681, 4: 75294, 5: 1250, 6: 145, 7: 10, 8: 1, 9: 0, 10: 1}","{0: 2.6787460254105847e-06, 1: 0.17535071482337689, 2: 0.003927041673251917, 3: 0.6152570658623285, 4: 0.20169350323726457, 5: 0.003348432531763231, 6: 0.0003884181736845348, 7: 2.6787460254105847e-05, 8: 2.6787460254105847e-06, 9: 0.0, 10: 2.6787460254105847e-06}",1327.7748584747314
6850045152,6850.045152,2.7580748123823935,0.026857892025503646,1.0986803341523905,0.036286298171189425,0.0005261399831841222,125948,2.5093435115063244e-05,11463.474331040848,182.2884725585812,78525316.76642281,03817,0,0.0,,,,,59346,0.32028020335251006,464,0.0025041285740498883,108342,0.5847032283830021,16781,0.0905641844851965,340.0,0.0018349217999503492,20.0,0.00010793657646766759,1.0,5.39682882338338e-06,,,,,18.38644814818879,4.649637872785951,430775,185294,"Atlanta, GA Urbanized Area",27.050040676870566,2.117488039491496e-05,68223702,8.115650831820189e-07,72357514,0.010281469444605652,6163.986937628229,185.66021545259767,42223588.83909157,227424,2.4515148898507237,"{0: 0, 1: 59346, 2: 464, 3: 108342, 4: 16781, 5: 340, 6: 20, 7: 1}","{0: 0.0, 1: 0.32028020335251006, 2: 0.0025041285740498883, 3: 0.5847032283830021, 4: 0.0905641844851965, 5: 0.0018349217999503492, 6: 0.00010793657646766759, 7: 5.39682882338338e-06}",384.06547355651855
6325255332,6325.255332,2.98027047541182,0.028692106709103268,1.0656257228846933,0.03581385553096785,0.0006463060194758212,171122,2.6575417743976803e-05,14235.53657417695,160.42281969273128,90043403.61969376,16264,0,0.0,,,,,34405,0.16739893055413643,954,0.00464172590462567,117716,0.5727519985208755,51783,0.2519522982381877,577.0,0.00280741703036584,88.0,0.0004281675886866446,3.0,1.4596622341590156e-05,1.0,4.865540780530052e-06,,,27.053769534690463,5.461939307244304,561288,205527,"Chicago, IL--IN Urbanized Area",32.493075648696994,1.7135647567467918e-05,235280874,7.322227501739212e-07,367529557,0.011058494035147732,7772.813508141421,163.24893941219509,49165030.08701315,301166,2.9194947622453498,"{0: 0, 1: 34405, 2: 954, 3: 117716, 4: 51783, 5: 577, 6: 88, 7: 3, 8: 1}","{0: 0.0, 1: 0.16739893055413643, 2: 0.00464172590462567, 3: 0.5727519985208755, 4: 0.2519522982381877, 5: 0.00280741703036584, 6: 0.0004281675886866446, 7: 1.4596622341590156e-05, 8: 4.865540780530052e-06}",419.5564155578613
5132095000,5132.095,2.8402407953031226,0.09978914156471061,1.0804819788438524,0.0483611226579131,0.00037420804769320627,136789,3.173513124887061e-05,13253.791234163424,159.520161077795,68019715.72389394,69076,0,0.0,,,,,27140,0.16555948001878862,672,0.004099335688011273,102796,0.6270763562273911,32576,0.1987201776378798,673.0,0.004105435889927957,68.0,0.0004148137303344741,4.0,2.440080766673377e-05,,,,,26.653637549577706,5.202276595355306,426402,163929,"Philadelphia, PA--NJ--DE--MD Urbanized Area",31.94192625039092,2.680862698376902e-05,110250592,9.193009055700724e-07,103809222,0.00998353666258601,7302.505354002001,159.1927245550374,37477151.2147469,235420,2.8730547981138175,"{0: 0, 1: 27140, 2: 672, 3: 102796, 4: 32576, 5: 673, 6: 68, 7: 4}","{0: 0.0, 1: 0.16555948001878862, 2: 0.004099335688011273, 3: 0.6270763562273911, 4: 0.1987201776378798, 5: 0.004105435889927957, 6: 0.0004148137303344741, 7: 2.440080766673377e-05}",336.56776690483093
4852285339,4852.285339,2.7768592362710613,0.030161807765863496,1.0896880342424393,0.05035516737473276,0.000590824369640601,117553,3.41421354051121e-05,11768.845380333738,153.5853452386686,57105795.89595128,09271,0,0.0,,,,,30030,0.2034787204488322,601,0.004072284748243361,99830,0.6764329224910728,16538,0.11205897698244378,529.0,0.0035844236802341735,54.0,0.00036589580100689106,1.0,6.775848166794278e-06,,,,,24.226316423556888,5.03876462736223,371818,147583,"Boston, MA--NH--RI Urbanized Area",30.415152796932414,2.590494805186126e-05,67461051,1.0199611723289274e-06,70780317,0.023745488384101898,6435.435076464644,153.9558999330257,31226567.271615736,202828,2.709322889492692,"{0: 0, 1: 30030, 2: 601, 3: 99830, 4: 16538, 5: 529, 6: 54, 7: 1}","{0: 0.0, 1: 0.2034787204488322, 2: 0.004072284748243361, 3: 0.6764329224910728, 4: 0.11205897698244378, 5: 0.0035844236802341735, 6: 0.00036589580100689106, 7: 6.775848166794278e-06}",271.5805172920227
4612317098,4612.317098,2.7891799564970965,0.03000882198075397,1.070648722843398,0.04522603994620213,0.0005128351405640548,157570,2.783456862280023e-05,15591.342393248826,151.52396917180363,71912215.1011538,22042,0,0.0,,,,,27095,0.14672515094901578,333,0.0018032653724311591,113212,0.6130669049359652,43225,0.23407250967969026,770.0,0.004169712723039017,30.0,0.00016245633985866297,,,,,,,34.16287229434545,5.140042780169496,474593,184665,"Dallas--Fort Worth--Arlington, TX Urbanized Area",40.03735998118488,2.157948768440698e-05,81707408,8.154884400150391e-07,36178286,0.004783045683353948,9157.104655206058,155.6121451260332,42235470.3693823,271415,2.9476457368748816,"{0: 0, 1: 27095, 2: 333, 3: 113212, 4: 43225, 5: 770, 6: 30}","{0: 0.0, 1: 0.14672515094901578, 2: 0.0018032653724311591, 3: 0.6130669049359652, 4: 0.23407250967969026, 5: 0.004169712723039017, 6: 0.00016245633985866297}",430.2650420665741
4496596605,4496.596605,2.939281008636103,0.03161592394477518,1.0595927247373573,0.03245687942591557,0.0007865451071961694,177412,2.3414531884804676e-05,19054.305964170613,146.32441146132376,85679527.50912082,51445,0,0.0,,,,,46230,0.2067143023224618,1113,0.004976703839171533,124699,0.557583101564107,50102,0.2240276871070729,1384.0,0.006188461916813479,106.0,0.0004739717942068127,5.0,2.235716010409494e-05,3.0,1.3414296062456962e-05,,,39.45472889489939,5.236449325260908,585545,223642,"Los Angeles--Long Beach--Anaheim, CA Urbanized Area",49.73583793380995,1.6280015758424076e-05,1262130028,6.723034950475772e-07,122684296,0.0030194092682885175,10589.614190458655,150.87457611047947,47617223.217076205,315608,2.819577717959954,"{0: 0, 1: 46230, 2: 1113, 3: 124699, 4: 50102, 5: 1384, 6: 106, 7: 5, 8: 3}","{0: 0.0, 1: 0.2067143023224618, 2: 0.004976703839171533, 3: 0.557583101564107, 4: 0.2240276871070729, 5: 0.006188461916813479, 6: 0.0004739717942068127, 7: 2.235716010409494e-05, 8: 1.3414296062456962e-05}",431.4954445362091
4303344832,4303.344832,2.750389338873345,0.032106425152394716,1.0816280644017815,0.036224506802151155,0.00031632878649843967,144111,2.7404498094834906e-05,14751.553064445356,142.9817100857126,63481019.64385468,40429,0,0.0,,,,,35895,0.19941001966601113,495,0.002749908336388787,102526,0.5695699032254481,40478,0.22487028210170773,593.0,0.0032943346332900015,18.0,9.999666677777408e-05,1.0,5.555370376543004e-06,,,,,33.48813669970848,4.932946679555126,443980,180006,"Houston, TX Urbanized Area",41.829322777357206,2.0978089180194325e-05,151844470,8.373813010394938e-07,668467539,0.01185638992747421,8622.659029935925,145.022864301772,37106275.17457289,255865,2.8302112151817163,"{0: 0, 1: 35895, 2: 495, 3: 102526, 4: 40478, 5: 593, 6: 18, 7: 1}","{0: 0.0, 1: 0.19941001966601113, 2: 0.002749908336388787, 3: 0.5695699032254481, 4: 0.22487028210170773, 5: 0.0032943346332900015, 6: 9.999666677777408e-05, 7: 5.555370376543004e-06}",425.5170855522156
3461205529,3461.205529,2.896118994525293,0.027887082222246763,1.066151675445163,0.03685530555615478,0.0007796488716532561,107654,4.268628946387096e-05,15649.7606210439,159.82673323994683,54167037.98908362,23824,0,0.0,0.0,0.0,2.0,1.587137834985279e-05,18359,0.14569131756247372,336,0.0026663915627752693,78948,0.6265067889820891,28059,0.22266750255925977,283.0,0.0022458000365041704,24.0,0.0001904565401982335,2.0,1.587137834985279e-05,0.0,0.0,0.0,0.0,31.103035950339258,5.37898470792696,338911,126013,"Detroit, MI Urbanized Area",36.40725722416353,3.073116711722717e-05,62678792,1.1925129464331936e-06,511968223,0.012209695170708534,8560.974887357206,159.2386843028085,29631293.613750912,186081,2.9338719021053383,"{0: 0, 1: 18359, 2: 336, 3: 78948, 4: 28059, 5: 283, 6: 24, 7: 2, 8: 0, 9: 0, 10: 0, 11: 2}","{0: 0.0, 1: 0.14569131756247372, 2: 0.0026663915627752693, 3: 0.6265067889820891, 4: 0.22266750255925977, 5: 0.0022458000365041704, 6: 0.0001904565401982335, 7: 1.587137834985279e-05, 8: 0.0, 9: 0.0, 10: 0.0, 11: 1.587137834985279e-05}",158.46188044548035
3424251729,3424.251729,2.766935173202583,0.03423545080875502,1.0857046194363127,0.0424179857198515,0.0004495627926029909,106913,3.3251803755782075e-05,14299.82848640684,141.04593613694374,48966212.41898207,92242,0,0.0,,,,,37590,0.260133007619219,514,0.0035570195774482193,80425,0.556562839525823,25193,0.17434240119582292,730.0,0.005051798232562646,48.0,0.0003321730344698726,2.0,1.3840543102911359e-05,1.0,6.9202715514556795e-06,,,31.222295690049133,4.804952146322222,347165,144503,"Washington, DC--VA--MD Urbanized Area",42.19987647993387,2.945266150459443e-05,49749813,1.0433187911575597e-06,1537737247,0.015381734909913153,8255.198468450408,145.7708211057625,28267877.628829464,193920,2.6617094454786407,"{0: 0, 1: 37590, 2: 514, 3: 80425, 4: 25193, 5: 730, 6: 48, 7: 2, 8: 1}","{0: 0.0, 1: 0.260133007619219, 2: 0.0035570195774482193, 3: 0.556562839525823, 4: 0.17434240119582292, 5: 0.005051798232562646, 6: 0.0003321730344698726, 7: 1.3840543102911359e-05, 8: 6.9202715514556795e-06}",307.3445987701416
